Start,End,Season,Days
2024-12-01,2025-01-12,"Advent, Christmas Vol. I",43
2025-01-13,2025-03-04,"Weeks 1 to 8, Ordinary Time Vol. III",51
2025-03-05,2025-06-08,"Lent, Triduum, Easter Vol. II",96
2025-06-09,2025-08-02,"Weeks 10 to 17, Ordinary Time Vol. III",55
2025-08-03,2025-11-29,"Weeks 18 to 34, Ordinary Time Vol. IV",119
2025-11-30,2026-01-11,"Advent, Christmas Vol. I",43
2026-01-12,2026-02-17,"Weeks 1 to 6, Ordinary Time Vol. III",37
2026-02-18,2026-05-24,"Lent, Triduum, Easter Vol. II",96
2026-05-25,2026-08-01,"Weeks 8 to 17, Ordinary Time Vol. III",69
2026-08-02,2026-11-28,"Weeks 18 to 34, Ordinary Time Vol. IV",119
2026-11-29,2027-01-10,"Advent, Christmas Vol. I",43
2027-01-11,2027-02-09,"Weeks 1 to 5, Ordinary Time Vol. III",30
2027-02-10,2027-05-16,"Lent, Triduum, Easter Vol. II",96
2027-05-17,2027-07-31,"Weeks 7 to 17, Ordinary Time Vol. III",76
2027-08-01,2027-11-27,"Weeks 18 to 34, Ordinary Time Vol. IV",119
2027-11-28,2028-01-09,"Advent, Christmas Vol. I",43
